province,district
City of Kigali,Nyarugenge
City of Kigali,Gasabo
City of Kigali,Kicukiro
Southern Province,Nyanza
Southern Province,Gisagara
Southern Province,Nyaruguru
Southern Province,Huye
Southern Province,Nyamagabe
Southern Province,Ruhango
Southern Province,Muhanga
Southern Province,Kamonyi
Western Province,Karongi
Western Province,Rutsiro
Western Province,Rubavu
Western Province,Nyabihu
Western Province,Ngororero
Western Province,Rusizi
Western Province,Nyamasheke
Northern Province,Rulindo
Northern Province,Gakenke
Northern Province,Musanze
Northern Province,Burera
Northern Province,Gicumbi
Eastern Province,Rwamagana
Eastern Province,Nyagatare
Eastern Province,Gatsibo
Eastern Province,Kayonza
Eastern Province,Kirehe
Eastern Province,Ngoma
Eastern Province,Bugesera
