0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Table 82: Percentage of households cultivating different types of crops by Province and District,,,,,,,,,,,,,,
,Province and district,Maize,Rice,Sorghum,Wheat,Bean,Soybean,Cassava,Sweet potato,Irish potato,Yams /Taro,Banana,Vegetables,Fruits
,Rwanda,56.3,2.3,18.8,2.4,79.9,10.8,48.7,44.3,14.4,12.3,24.4,15,48.7
,City of Kigali,43.2,1.6,20.4,-,77.4,9.3,50.7,32,10.8,7.3,21.9,14.6,20
,Nyarugenge,35.7,0.9,8.6,-,78.4,12.2,55.2,32,4.9,9.9,22,14.8,19.9
,Gasabo,43,1.9,25.9,-,77.6,9.6,51.9,34,15.2,6.4,22.9,15.9,21
,Kicukiro,50.5,1.4,15.9,-,75.9,5.6,43,26.1,4.2,7.1,19,11.1,18.1
,Southern Province,41.5,4.5,19.6,3.3,85,20.9,69.3,60.5,11.2,20,28.7,17,57.7
,Nyanza,47,5.4,22.9,-,87.6,16.5,75.7,40.4,4.6,16.2,26.9,10.5,56.2
,Gisagara,61.2,12.1,20.3,-,95.7,27.7,77.5,51.7,8.7,19.4,28,15.2,65.7
,Nyaruguru,50.1,0.3,29.1,8.1,85.7,8,40.6,80.8,27.3,15.6,26,21.6,67.3
,Huye,36.5,7.4,30.7,-,90.1,21.9,74.1,56.7,10.2,12.4,25.7,17.6,58.3
,Nyamagabe,49.3,1.2,28.4,17.9,80.3,7.2,45.6,72.2,20.2,12.8,23.4,16.9,52.6
,Ruhango,25.9,3.5,11.5,-,82.9,27.5,80.8,52.9,3.2,17.6,23.1,14,52.3
,Muhanga,24.6,2.9,0.8,0.6,70.9,25.8,75.2,81.8,7.5,53.9,49.5,26.8,59.2
,Kamonyi,34.1,1.7,13.3,-,85.3,30.3,81.1,51.7,9.6,13.7,27.6,14.5,52.6
,Western Province,54.1,0.9,2.8,3,71.7,10.7,49.6,45.4,15.8,13.7,21.7,15.3,47.3
,Karongi,57.7,0.2,9.2,1,79.7,11.5,59.4,63.2,9.8,20.3,35.9,22.7,56.4
,Rutsiro,64.6,-,2.1,2.1,58.6,13.8,35.4,40,20.3,15.8,23.1,15.3,44.1
,Rubavu,39,-,4.3, -,68.9,4.4,7.5,12.8,30.2,1.4,7.9,10.1,28
,Nyabihu,54.7,-,1.6,10.1,55.1,0.6,6.1,28.2,47.8,1.5,7.2,7.7,37.5
,Ngororero,49.9,0.4,1.4,7.5,71.1,11.1,46.5,76.7,12.5,27.2,28.3,17.7,50.9
,Rusizi,70.2,3.5,0.6,0.2,86.2,7.6,83.8,22.3,4.9,10.6,13.9,13.3,53.4
,Nyamasheke,38.1,1.5,0.9,0.9,74.9,19.6,75.4,53.7,2.5,9.7,25.4,15.8,64.7
,Northern Province,57,0.2,29.1,4.3,81.7,2.8,27.5,58.9,24.2,8.5,23.6,21.8,56.1
,Rulindo,51.6,0.2,29.1,2.4,85.5,4.8,49,71,26.5,5.7,26.3,26,63.3
,Gakenke,65.9,0.7,2.3,1.7,89.1,6.3,48.9,81.9,13.9,25.2,44.1,32.4,61.7
,Musanze,65.3,-,11.3,5.3,73.8,0.5,4.9,28.7,28.1,2,9.8,12.1,41.4
,Burera,61.9,-,48.3,8.7,74.2,0.1,2.6,42.1,29,1.4,10.2,13.7,52.3
,Gicumbi,42.8,-,52.6,3.9,83.9,2.1,27.8,65,25.1,6,24.2,22.4,64.5
,Eastern Province,74,2.9,23.4,0.2,80.5,6.5,41.6,19.3,10.4,6.8,23,8.3,53.7
,Rwamagana,67.6,1.4,34.3,0.4,83.2,4.9,60.8,31.8,21,12.7,32.3,13.2,55.7
,Nyagatare,84.3,2,19.1,0.3,68.2,6.6,22,8.2,2.3,1.6,12.5,4.4,41.8
,Gatsibo,69.3,3.4,27.1,0.5,77.2,9.3,41.4,20.1,14.5,6.5,28.1,12.4,57.3
,Kayonza,71.2,3.2,30.6,0.4,78.7,2.7,36.5,15.1,12.5,2.8,14.9,4.3,53.3
,Kirehe,78.9,2.4,21.7,-,86.5,5.2,32,13,11.1,8.5,22.2,6.1,56.8
,Ngoma,71.4,4.4,18.1,-,84.3,9.1,54,25.5,10.6,10.4,34.6,10.7,67.4
,Bugesera,73.8,3.5,14.4,-,88.8,6.9,50,24.5,3.2,6.8,18.1,7.3,50.1
