age_group,sex,total,attending,pct
3-17 years (total),Both sexes,4895797.0,3684371.0,75.3
3-17 years (total),Male,2447955.0,1804240.0,73.7
3-17 years (total),Female,2447842.0,1880131.0,76.8
3-5 years,Both sexes,1071139.0,573194.0,53.5
3-5 years,Male,536957.0,279278.0,52.0
3-5 years,Female,534182.0,293916.0,55.0
6-11 years,Both sexes,1937762.0,1731578.0,89.4
6-11 years,Male,970363.0,857576.0,88.4
6-11 years,Female,967399.0,874002.0,90.3
12-17 years,Both sexes,1886896.0,1379599.0,73.1
12-17 years,Male,940635.0,667386.0,71.0
12-17 years,Female,946261.0,712213.0,75.3
