disability_type,sex,count,year
Physical and Motor Challenges,Male,7180.0,2022/23
Physical and Motor Challenges,Female,5535.0,2022/23
Specific Learning Difficulties,Male,4338.0,2022/23
Specific Learning Difficulties,Female,3518.0,2022/23
Visual impairment,Male,2916.0,2022/23
Visual impairment,Female,2490.0,2022/23
Hearing Impairment,Male,1421.0,2022/23
Hearing Impairment,Female,1258.0,2022/23
Developmental challenges,Male,1454.0,2022/23
Developmental challenges,Female,1180.0,2022/23
"Speech, language, and communication difficulties",Male,3004.0,2022/23
"Speech, language, and communication difficulties",Female,2118.0,2022/23
Multiple disabilities/Difficulties,Male,2106.0,2022/23
Multiple disabilities/Difficulties,Female,1700.0,2022/23
Intellectual disabilities/ challenges,Male,69.0,2022/23
Intellectual disabilities/ challenges,Female,37.0,2022/23
Autism spectrum disorder,Male,0.0,2022/23
Autism spectrum disorder,Female,0.0,2022/23
Emotional and behavioral disorder,Male,9.0,2022/23
Emotional and behavioral disorder,Female,9.0,2022/23
