group,year,sex,count,pct
Total school staff,2017,Male,51422.0,0.549
Total school staff,2017,Female,42269.0,0.451
Total school staff,2018,Male,51403.0,0.544
Total school staff,2018,Female,43034.0,0.456
Total school staff,2019,Male,52435.0,0.537
Total school staff,2019,Female,45296.0,0.463
Total school staff,2020/21,Male,61545.0,0.508
Total school staff,2020/21,Female,59600.0,0.492
Total school staff,2021/22,Male,64414.0,0.513
Total school staff,2021/22,Female,61207.0,0.487
Total school staff,2022/23,Male,70430.0,0.5102218229762819
Total school staff,2022/23,Female,67608.0,0.4897781770237181
Staff in Public schools,2017,Male,15687.0,
Staff in Public schools,2017,Female,11438.0,
Staff in Public schools,2018,Male,15788.0,
Staff in Public schools,2018,Female,11604.0,
Staff in Public schools,2019,Male,16144.0,
Staff in Public schools,2019,Female,12310.0,
Staff in Public schools,2020/21,Male,22045.0,
Staff in Public schools,2020/21,Female,20477.0,
Staff in Public schools,2021/22,Male,23893.0,
Staff in Public schools,2021/22,Female,21956.0,
Staff in Public schools,2022/23,Male,26035.0,
Staff in Public schools,2022/23,Female,24252.0,
Staff in Government-subsidized schools,2017,Male,24545.0,
Staff in Government-subsidized schools,2017,Female,23153.0,
Staff in Government-subsidized schools,2018,Male,24730.0,
Staff in Government-subsidized schools,2018,Female,23838.0,
Staff in Government-subsidized schools,2019,Male,24803.0,
Staff in Government-subsidized schools,2019,Female,24542.0,
Staff in Government-subsidized schools,2020/21,Male,27970.0,
Staff in Government-subsidized schools,2020/21,Female,30606.0,
Staff in Government-subsidized schools,2021/22,Male,29814.0,
Staff in Government-subsidized schools,2021/22,Female,31649.0,
Staff in Government-subsidized schools,2022/23,Male,32045.0,
Staff in Government-subsidized schools,2022/23,Female,34522.0,
Staff in Private schools,2017,Male,11190.0,
Staff in Private schools,2017,Female,7678.0,
Staff in Private schools,2018,Male,10885.0,
Staff in Private schools,2018,Female,7592.0,
Staff in Private schools,2019,Male,11488.0,
Staff in Private schools,2019,Female,8444.0,
Staff in Private schools,2020/21,Male,11530.0,
Staff in Private schools,2020/21,Female,8517.0,
Staff in Private schools,2021/22,Male,10707.0,
Staff in Private schools,2021/22,Female,7602.0,
Staff in Private schools,2022/23,Male,12350.0,
Staff in Private schools,2022/23,Female,8834.0,
